id	width	height	ar	flags
d9e9ae06-c380-4474-8b2d-44a5b77cd8f3	4044	3955	1.0225	2
5859a0b5-da35-4540-977e-b7e4e874c42d	3978	4021	0.9893	1
98858e82-2cc9-4ea4-9c51-16a482a792b1	3120	5127	0.6085	1
d3d9e066-3199-47c6-9dc6-b21d7fc1d93a	3120	5127	0.6085	1
67023fc1-7aa4-46d9-8aa3-d1e35008b12f	3131	5110	0.6127	1
bf0bf978-9d52-4fbf-acf8-67e7bf5c02ee	1036	1200	0.8633	1
97197aff-05a7-408f-b340-8d7b82197a12	2709	4405	0.615	1
574a56d4-f615-4cd7-b2ea-5cded4a6418c	828	1200	0.69	1
ac8c661c-f212-4b20-a637-9790f1f4da86	5108	3132	1.6309	2
25212d86-63e7-4827-a096-dca85526de07	4826	3315	1.4558	2
1d032a82-e711-44e3-8cb7-766c79f4de99	3331	4803	0.6935	1
1b7bb962-6933-4712-8f0b-cdc8708c6a6e	3331	4803	0.6935	1
c6cc6fad-4b8f-4660-aa37-8c729cf6405c	3169	5048	0.6278	1
a82a9e1c-6ba0-4fdf-9576-2fb61757d7fa	3868	4135	0.9354	1
c23cc465-e136-4d6b-b17e-5fc9f6bedfc7	2268	2435	0.9314	1
2df9e929-6083-439a-bca2-9b042fffda94	5035	3177	1.5848	2
b0157d91-2e02-47af-91c0-aa59b5c26f9c	4035	2806	1.438	2
2a9b37b8-cf2a-44d9-8a8d-d56daea1c992	4035	2806	1.438	2
b783aa09-adca-4df8-ad96-25d9d5fd8571	5317	3008	1.7676	2
2c6f150d-a323-4278-958e-dfc0de7c678b	5317	3008	1.7676	2
e1b612ce-efde-4f5a-9a82-0b7e4c2d8f74	3945	4055	0.9729	1
8ec49307-fbb8-4864-8c75-7096d31030f2	3172	5044	0.6289	1
f6d41864-51e0-4c37-b6b2-b7b9115dda44	3197	5004	0.6389	1
faadf4c3-6355-4670-8d19-9898c8ff6fed	2108	3121	0.6754	1
6d1d20c3-3ced-4cee-ae00-5f7f24a19001	851	1200	0.7092	1
458c49f9-7bd7-423e-a7ca-5063aed0c85e	2503	3649	0.6859	1
3211b424-c612-4f5c-895a-36c3d38d7629	4817	3321	1.4505	2
1fdd91c9-898c-4ec9-a919-267e5ead2831	798	1200	0.665	1
5f913dd5-4a8f-4727-b641-510cf383a59d	1970	2961	0.6653	1
0a648a4d-628b-498b-af94-c09fed99a380	2883	5151	0.5597	1
ed9d364d-b75e-45f7-9970-255f0bc8e2da	2846	4150	0.6858	1
847bd280-1686-4b50-8696-eee478502b24	3310	2664	1.2425	2
3f27abc4-99c9-4dc0-b4c1-0522afb0890d	2782	3651	0.762	1
0627f73c-d4a5-4e6d-87ff-bf10356e3dbd	2538	2912	0.8716	1
950fa577-f7b3-4f50-acad-a7029dc26309	4099	2608	1.5717	2
099e8416-4c68-4440-b4b3-e119aa5f0de4	2907	4464	0.6512	1
517161f1-5b20-4507-bdc4-39e15be9af1a	814	1200	0.6783	1
870eb604-f621-40bb-956c-7247a4f76e9a	2678	3944	0.679	1
8dd8e691-50d2-4a01-b90d-8036c56fc4a3	3983	2793	1.4261	2
955beef0-1bde-4934-89d7-61185575d8ec	2891	3974	0.7275	1
7d7ed71b-8b99-40ec-92b6-fce0b2639203	4879	3279	1.488	2
834a568f-c485-42c8-bcb8-fc0bd8918bb9	3368	4749	0.7092	1
288407c2-66af-4a35-9983-c0ab80b4b3fa	4720	3389	1.3927	2
82dbefca-7035-4690-862a-83f2b66d13c6	3413	4687	0.7282	1
808687b9-da43-4233-971b-d2b6acae3c10	3270	4893	0.6683	1
24a56f54-05cd-410d-bcda-90318fd243f6	5080	3150	1.6127	2
281a9dfe-976b-4781-8cc4-73aa6f6e330b	855	1200	0.7125	1
3f2a5068-4963-48e6-a2e2-1d631e9f2dc6	2541	3713	0.6844	1
d845671d-5a8e-486b-a553-46799d0c0006	4906	3260	1.5049	2
1d2dbb8e-b14f-4272-b7ae-a027e0e65466	3239	4938	0.6559	1
b0416dbb-b7f2-4d48-84ee-5481cd8660c4	2491	3744	0.6653	1
e275ff46-7af9-45f2-8fb8-4ab2549c68ec	4166	2724	1.5294	2
2c40f0a3-3a5b-4731-b386-627eafb46254	4863	3290	1.4781	2
7f1929c8-0938-4c09-9ab2-33f1303ba99f	3471	4609	0.7531	1
3b9b4d87-5ca7-4a5c-aad9-7c5b9fa5a66d	3241	4936	0.6566	1
96a5fb29-21b0-41ea-aeb0-1da37c21b004	3207	4987	0.6431	1
94e2bcc8-03fa-456f-b57c-e9afc496b7ed	3222	4965	0.6489	1
eb58d0f1-5dc1-4045-8b27-4d7baae4e9ab	2892	4509	0.6414	1
52a6012c-9b8f-4d98-bbd2-3ffe752aad03	4598	3480	1.3213	2
964c5a56-b0b3-4aad-8780-120f99a19d33	3214	4978	0.6456	1
28dfd46c-bf23-4c69-a09c-9f8aa1694041	4799	3333	1.4398	2
0768d805-7a25-4883-b960-c8bc319b4541	3609	4433	0.8141	1
0c822000-28d3-449b-baa9-089127c334db	3136	5063	0.6194	1
8d1c15d5-da07-4f51-bd12-a1990024d2cf	4105	3896	1.0536	2
5651c374-f643-47f6-ba97-669d90f66e09	4005	3994	1.0028	2
83ba8e9d-5f25-4e6b-a3e5-929e9743253d	3556	4498	0.7906	1
